Issue,UserType,Threshold,WeakStrongTN,WeakStrongTP,WeakStrongFN,WeakStrongFP,WeakStrongPrecision,WeakStrongRecall,WeakStrongAccuracy,StrongTN,StrongTP,StrongFN,StrongFP,StrongPrecision,StrongRecall,StrongAccuracy
공공 안전,3,0,1785,387,72,996,0.279826464208243,0.8431372549019608,0.6703703703703704,1785,0,0,996,0.0,0,0.6418554476806904
공공 안전,3,1,1019,282,22,509,0.35651074589127685,0.9276315789473685,0.7101528384279476,1019,0,0,509,0.0,0,0.6668848167539267
공공 안전,3,2,459,141,8,236,0.3740053050397878,0.9463087248322147,0.7109004739336493,459,0,0,236,0.0,0,0.660431654676259
공공 안전,3,3,164,70,1,110,0.3888888888888889,0.9859154929577465,0.6782608695652174,164,0,0,110,0.0,0,0.5985401459854015
공공 안전,3,4,61,28,1,54,0.34146341463414637,0.9655172413793104,0.6180555555555556,61,0,0,54,0.0,0,0.5304347826086957
공공 안전,3,5,22,14,1,34,0.2916666666666667,0.9333333333333333,0.5070422535211268,22,0,0,34,0.0,0,0.39285714285714285
