Issue,UserType,Threshold,WeakStrongTN,WeakStrongTP,WeakStrongFN,WeakStrongFP,WeakStrongPrecision,WeakStrongRecall,WeakStrongAccuracy,StrongTN,StrongTP,StrongFN,StrongFP,StrongPrecision,StrongRecall,StrongAccuracy
공공 안전,1,0,529,88,58,360,0.19642857142857142,0.6027397260273972,0.5961352657004831,529,0,0,360,0.0,0,0.595050618672666
공공 안전,1,1,56,10,3,65,0.13333333333333333,0.7692307692307693,0.4925373134328358,56,0,0,65,0.0,0,0.4628099173553719
공공 안전,1,2,17,5,0,34,0.1282051282051282,1.0,0.39285714285714285,17,0,0,34,0.0,0,0.3333333333333333
공공 안전,1,3,14,5,0,30,0.14285714285714285,1.0,0.3877551020408163,14,0,0,30,0.0,0,0.3181818181818182
공공 안전,1,4,13,5,0,26,0.16129032258064516,1.0,0.4090909090909091,13,0,0,26,0.0,0,0.3333333333333333
공공 안전,1,5,13,3,0,23,0.11538461538461539,1.0,0.41025641025641024,13,0,0,23,0.0,0,0.3611111111111111
