Issue,UserType,Threshold,WeakStrongTN,WeakStrongTP,WeakStrongFN,WeakStrongFP,WeakStrongPrecision,WeakStrongRecall,WeakStrongAccuracy,StrongTN,StrongTP,StrongFN,StrongFP,StrongPrecision,StrongRecall,StrongAccuracy
공공 안전,0,0,2016,347,77,666,0.3425468904244817,0.8183962264150944,0.7607855763039278,2016,0,0,666,0.0,0,0.7516778523489933
공공 안전,0,1,950,174,11,248,0.41232227488151657,0.9405405405405406,0.8127259580621836,950,0,0,248,0.0,0,0.7929883138564274
공공 안전,0,2,263,65,4,72,0.4744525547445255,0.9420289855072463,0.8118811881188119,263,0,0,72,0.0,0,0.7850746268656716
공공 안전,0,3,63,21,1,12,0.6363636363636364,0.9545454545454546,0.865979381443299,63,0,0,12,0.0,0,0.84
공공 안전,0,4,7,4,0,2,0.6666666666666666,1.0,0.8461538461538461,7,0,0,2,0.0,0,0.7777777777777778
공공 안전,0,5,0,1,0,1,0.5,1.0,0.5,0,0,0,1,0.0,0,0.0
