Issue,UserType,Threshold,WeakStrongTN,WeakStrongTP,WeakStrongFN,WeakStrongFP,WeakStrongPrecision,WeakStrongRecall,WeakStrongAccuracy,StrongTN,StrongTP,StrongFN,StrongFP,StrongPrecision,StrongRecall,StrongAccuracy
공공 안전,1,0,489,148,98,300,0.33035714285714285,0.6016260162601627,0.6154589371980677,489,18,25,300,0.05660377358490566,0.4186046511627907,0.609375
공공 안전,1,1,54,17,5,58,0.22666666666666666,0.7727272727272727,0.5298507462686567,54,1,1,58,0.01694915254237288,0.5,0.4824561403508772
공공 안전,1,2,17,9,0,30,0.23076923076923078,1.0,0.4642857142857143,17,1,0,30,0.03225806451612903,1.0,0.375
공공 안전,1,3,14,9,0,26,0.2571428571428571,1.0,0.46938775510204084,14,1,0,26,0.037037037037037035,1.0,0.36585365853658536
공공 안전,1,4,13,9,0,22,0.2903225806451613,1.0,0.5,13,1,0,22,0.043478260869565216,1.0,0.3888888888888889
공공 안전,1,5,13,8,0,18,0.3076923076923077,1.0,0.5384615384615384,13,0,0,18,0.0,0,0.41935483870967744
대기 오염(미세먼지 등),1,0,1016,66,37,250,0.2088607594936709,0.6407766990291263,0.7903579254930606,1016,55,36,250,0.18032786885245902,0.6043956043956044,0.789240972733972
대기 오염(미세먼지 등),1,1,181,22,3,19,0.5365853658536586,0.88,0.9022222222222223,181,16,3,19,0.45714285714285713,0.8421052631578947,0.8995433789954338
대기 오염(미세먼지 등),1,2,54,21,0,11,0.65625,1.0,0.872093023255814,54,15,0,11,0.5769230769230769,1.0,0.8625
대기 오염(미세먼지 등),1,3,47,20,0,8,0.7142857142857143,1.0,0.8933333333333333,47,14,0,8,0.6363636363636364,1.0,0.8840579710144928
대기 오염(미세먼지 등),1,4,42,20,0,7,0.7407407407407407,1.0,0.8985507246376812,42,14,0,7,0.6666666666666666,1.0,0.8888888888888888
대기 오염(미세먼지 등),1,5,34,20,0,6,0.7692307692307693,1.0,0.9,34,14,0,6,0.7,1.0,0.8888888888888888
청년 실업,1,0,1605,20,14,165,0.10810810810810811,0.5882352941176471,0.9007760532150776,1605,13,13,165,0.07303370786516854,0.5,0.9008908685968819
청년 실업,1,1,362,3,2,13,0.1875,0.6,0.9605263157894737,362,2,2,13,0.13333333333333333,0.5,0.9604221635883905
청년 실업,1,2,112,2,0,5,0.2857142857142857,1.0,0.957983193277311,112,2,0,5,0.2857142857142857,1.0,0.957983193277311
청년 실업,1,3,79,1,0,4,0.2,1.0,0.9523809523809523,79,1,0,4,0.2,1.0,0.9523809523809523
청년 실업,1,4,70,1,0,3,0.25,1.0,0.9594594594594594,70,1,0,3,0.25,1.0,0.9594594594594594
청년 실업,1,5,55,1,0,1,0.5,1.0,0.9824561403508771,55,1,0,1,0.5,1.0,0.9824561403508771
