Issue,UserType,Threshold,WeakStrongTN,WeakStrongTP,WeakStrongFN,WeakStrongFP,WeakStrongPrecision,WeakStrongRecall,WeakStrongAccuracy,StrongTN,StrongTP,StrongFN,StrongFP,StrongPrecision,StrongRecall,StrongAccuracy
공공 안전,2,0,732,255,72,1354,0.15848353014294592,0.7798165137614679,0.40903439701616245,732,0,0,1354,0.0,0,0.35091083413231067
공공 안전,2,1,97,66,2,294,0.18333333333333332,0.9705882352941176,0.355119825708061,97,0,0,294,0.0,0,0.24808184143222506
공공 안전,2,2,15,6,0,39,0.13333333333333333,1.0,0.35,15,0,0,39,0.0,0,0.2777777777777778
공공 안전,2,3,10,1,0,16,0.058823529411764705,1.0,0.4074074074074074,10,0,0,16,0.0,0,0.38461538461538464
공공 안전,2,4,6,1,0,12,0.07692307692307693,1.0,0.3684210526315789,6,0,0,12,0.0,0,0.3333333333333333
공공 안전,2,5,6,1,0,11,0.08333333333333333,1.0,0.3888888888888889,6,0,0,11,0.0,0,0.35294117647058826
