issue,issue-sum,service,service-sum,agree,disagree,noidea,category1,category2,category3,category4
공공 안전,6264634930000.0,중앙선 굴다리구간 벽화조성(주민참여),30000000,0,2,1,문화및관광,문화및관광일반,디자인 역량 강화추진,SOFT 서울기반구축 사업
공공 안전,6264634930000.0,홍제천 종로구간 하천정비(유지용수관 등),0,3,0,0,국토및지역개발,수자원,치수 및 하천 관리,하천복원 및 정비
공공 안전,6264634930000.0,박물관 홍보 및 문화행사 운영,279650000,0,2,0,문화및관광,문화재,선사·고대 역사문화 공간 창조,박물관운영 활성화
공공 안전,6264634930000.0,장학금 지급,2415150000.0,2,0,1,교육,고등교육,쾌적한 교육환경 조성 및 교육역량 강화,학생 경쟁력 강화
공공 안전,6264634930000.0,운행제한차량 단속,2381084000.0,2,0,1,수송및교통,도로,도로시설관리,도로시설물 운영(일반회계)
공공 안전,6264634930000.0,개포디지털혁신파크 조성,7366000000.0,0,0,1,일반공공행정,일반행정,디지털산업 육성 지원,디지털산업 기반시설 확충 및 지원
공공 안전,6264634930000.0,지역맞춤형 일자리창출 지원,1751000000,3,3,0,사회복지,노동,실업 없는 살기좋은 서울 구축,사회적 일자리 제공
공공 안전,6264634930000.0,고척2지하차도 포장 및 보수공사,450000000,1,1,0,수송및교통,도로,도로시설관리,지하차도시설 관리
공공 안전,6264634930000.0,소방청렴도 향상 및 투명성 제고,65009000,2,2,1,공공질서및안전,소방,소방행정업무의 과학화로 고품질 서비스 제공,소방감사 운영
공공 안전,6264634930000.0,입양 및 보호아동 건전육성 지원,785631000,1,2,1,사회복지,노인ㆍ청소년,건전한 청소년육성 및 복지서비스 증진,아동복지 서비스 증진
공공 안전,6264634930000.0,마곡도시개발사업 자문단 운영,32825000,0,1,1,국토및지역개발,지역및도시,지속가능한 미래도시 마곡지구 조성,친환경 마곡도시개발사업 추진
공공 안전,6264634930000.0,청소년 야외 체험학습장 운영,0,0,2,0,사회복지,노인ㆍ청소년,건전한 청소년육성 및 복지서비스 증진,청소년 수련 프로그램 운영지원
공공 안전,6264634930000.0,수락산도시자연공원(동막골) 조성,0,1,3,0,국토및지역개발,지역및도시,생활권 공원확충,미집행 공원조성
공공 안전,6264634930000.0,의용소방대 활동수당 등,2735672000.0,2,1,0,공공질서및안전,소방,소방재난능력의 향상으로 안정적인 재난시스템 구축,의용소방대 활성화
공공 안전,6264634930000.0,공무원 단체업무 추진,28320000,0,4,0,일반공공행정,일반행정,인적자원 역량 강화,공무원 복지증진
공공 안전,6264634930000.0,마곡지구 집단에너지 공급(특),19587000000.0,0,2,1,환경보호,대기,에너지절약과 생산으로 원전하나줄이기,지역난방 건설 및 운영
공공 안전,6264634930000.0,주택사업특별회계 법정전출금,103966100000.0,0,1,0,사회복지,주택,일반예산(재무활동),내부거래지출(도시재생본부 주거재생과)
공공 안전,6264634930000.0,소블록 배급수관망 개선,2000000000,1,2,1,환경보호,상하수도ㆍ수질,안정된 아리수 공급체계 구축,최적의 관망환경 조성
공공 안전,6264634930000.0,4.19 문화제 지원,300000000,2,0,0,문화및관광,문화예술,문화예술진흥,시민과 함께하는 문화행사 개최
공공 안전,6264634930000.0,공공시설물 공모전,270000000,1,1,0,국토및지역개발,지역및도시,공공디자인 수준 향상,공공디자인선도 및 표준화
공공 안전,6264634930000.0,안전감시활동 운영 및 지원,260000000,1,0,1,공공질서및안전,재난방재ㆍ민방위,안전의식 확산 홍보활동 강화,재난관리
공공 안전,6264634930000.0,구로동 82-7~136-30 간 하수관로 개량,1000000000,1,1,1,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 신설개량
